open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-18 00:10:00,26764.39,26832.6,26700.36000000,26782.12,595.29715000,2023-08-18 00:10:00,15944912.84329790,12127,337.13650000,9029926.94394770,0
2023-08-18 00:15:00,26782.13,26800.0,26719.11000000,26759.79,353.65790000,2023-08-18 00:15:00,9466833.85867140,8553,161.99186000,4336457.98125190,0
2023-08-18 00:20:00,26759.8,26794.64,26732.58000000,26732.59,317.91395000,2023-08-18 00:20:00,8509002.94075330,7651,173.88790000,4654126.43191440,0
2023-08-18 00:25:00,26732.59,26774.0,26723.14000000,26732.99,258.42898000,2023-08-18 00:25:00,6911380.09558870,6342,142.58485000,3813152.57643370,0
2023-08-18 00:30:00,26733.0,26746.0,26676.38000000,26681.33,422.73109000,2023-08-18 00:30:00,11286103.78273750,8319,241.23207000,6439606.04725530,0
2023-08-18 00:35:00,26681.34,26730.0,26666.00000000,26711.33,284.15443000,2023-08-18 00:35:00,7587823.59663420,6458,158.98911000,4245176.13084030,0
2023-08-18 00:40:00,26711.32,26736.32,26691.40000000,26692.27,181.95372000,2023-08-18 00:40:00,4860059.15973670,4449,92.70494000,2476056.08739760,0
2023-08-18 00:45:00,26692.28,26706.0,26650.00000000,26658.88,260.14507000,2023-08-18 00:45:00,6941667.77950290,5844,116.27320000,3102644.23606050,0
2023-08-18 00:50:00,26658.88,26689.57,26658.87000000,26671.59,212.00384000,2023-08-18 00:50:00,5654652.53587770,4577,112.50987000,3000761.92707990,0
2023-08-18 00:55:00,26671.59,26748.0,26671.09000000,26737.3,232.30023000,2023-08-18 00:55:00,6206145.32257020,4848,126.17971000,3371084.28012010,0
2023-08-18 01:00:00,26737.3,26759.96,26689.38000000,26689.99,287.96608000,2023-08-18 01:00:00,7695601.90351690,5337,137.99705000,3688018.38737200,0
2023-08-18 01:05:00,26689.99,26690.0,26666.00000000,26666.01,223.15563000,2023-08-18 01:05:00,5954187.67265070,4406,105.99562000,2828060.64652750,0
2023-08-18 01:10:00,26666.01,26676.0,26590.16000000,26590.17,218.84355000,2023-08-18 01:10:00,5827851.30170680,6339,88.60472000,2359708.08531540,0
2023-08-18 01:15:00,26590.17,26631.14,26582.52000000,26593.35,264.73541000,2023-08-18 01:15:00,7043323.88642520,5303,146.14900000,3888487.63568420,0
2023-08-18 01:20:00,26593.34,26620.0,26584.65000000,26619.99,126.19237000,2023-08-18 01:20:00,3356974.43679210,3160,84.39237000,2244937.23667320,0
2023-08-18 01:25:00,26619.99,26659.22,26600.13000000,26600.14,235.87440000,2023-08-18 01:25:00,6280683.89418240,4272,108.27153000,2882739.16889350,0
2023-08-18 01:30:00,26600.13,26617.34,26585.32000000,26586.0,330.47953000,2023-08-18 01:30:00,8791000.71821010,4565,193.09413000,5136115.35393400,0
2023-08-18 01:35:00,26586.01,26606.0,26569.46000000,26596.27,354.09128000,2023-08-18 01:35:00,9416157.38484820,4947,188.11472000,5001856.61095750,0
2023-08-18 01:40:00,26596.26,26653.99,26596.26000000,26649.99,203.66136000,2023-08-18 01:40:00,5424734.13452180,3936,119.82612000,3191181.28567910,0
2023-08-18 01:45:00,26649.99,26655.71,26588.00000000,26588.78,133.01825000,2023-08-18 01:45:00,3540642.87307840,3470,47.45766000,1263032.72853410,0
2023-08-18 01:50:00,26588.78,26596.0,26564.00000000,26567.58,150.52780000,2023-08-18 01:50:00,4001270.94594070,3645,64.30329000,1709216.20990740,0
2023-08-18 01:55:00,26567.58,26622.86,26567.58000000,26613.49,127.27503000,2023-08-18 01:55:00,3385448.29097520,2956,77.97972000,2073899.81994990,0
2023-08-18 02:00:00,26613.49,26622.0,26600.00000000,26612.0,137.96385000,2023-08-18 02:00:00,3671312.42688940,4006,68.83302000,1831669.21997860,0
2023-08-18 02:05:00,26611.99,26645.74,26610.04000000,26633.32,147.56259000,2023-08-18 02:05:00,3929048.85233740,3274,89.55130000,2384300.03905780,0
2023-08-18 02:10:00,26633.33,26684.64,26630.66000000,26672.0,199.00083000,2023-08-18 02:10:00,5306513.02233570,3842,126.30249000,3367826.26715890,0
2023-08-18 02:15:00,26672.0,26684.12,26640.00000000,26648.72,273.23787000,2023-08-18 02:15:00,7286970.33455840,3742,137.58807000,3668993.07258400,0
2023-08-18 02:20:00,26648.72,26648.72,26601.93000000,26609.34,119.54618000,2023-08-18 02:20:00,3182952.50680840,3199,47.24807000,1257857.56489360,0
2023-08-18 02:25:00,26609.34,26609.35,26585.86000000,26600.0,151.66179000,2023-08-18 02:25:00,4033730.59644250,3093,48.62009000,1292951.03770960,0
2023-08-18 02:30:00,26600.0,26609.32,26585.17000000,26585.69,105.37257000,2023-08-18 02:30:00,2802855.13898950,2659,40.96898000,1089712.25278620,0
2023-08-18 02:35:00,26585.69,26590.75,26575.00000000,26576.06,110.76208000,2023-08-18 02:35:00,2944058.47424570,2328,48.15235000,1279864.95705970,0
